Item;Domanda;A;B;C;D;E;OK
481;"Riguardo alla fenilchetonuria tutte le seguenti affermazioni sono vere ad eccezione di:
L'ALLUNGAMENTO E L'ACCORCIAMENTO DEI MICROVILLI SULLA SUPERFICIE DELLE CELLULE CHE NE SONO PROVVISTI E' DOVUTO A:";"il ritardo mentale è la complicazione più seria
RAPIDI FLUSSI DI MATRICE:CITOPLASMATICA";"la frequenza è di un neonato affetto ogni 100.000
TRANSIZIONE GEL/SOL LOCALIZZATA ALLA PERIFERIA DELLA CELLULA";"è trasmessa da un gene autosomico recessivo
POLIMERIZZAZIONE / DEPOLIMERIZZAZIONE DI ACTINA '";"i soggetti affetti appaiono normali alla nascita
FORMAZIONE / SCISSIONE DEL LEGAME MICROVILLINA- TUBULINA";"la quantità di acido fenilpiruvico escreto nelle urine varia in rapporto alla  quantità
SCISSIONE DI ATP OPERATA DALLA DINEINA";"B
C"
482;;;;;;;
483;L' NSE E' UN ENZIMA GLICOLITICO I CUI LIVELLI SIERICI AUMENTANO SOPRATTUTTO:;NELL’ADENOCARCINOMA DEL COLON;NEL NEUROBLASTOMA;NEL PAPILLOMA VESCICALE;NEL CARCINOMA DEL TESTICOLO AD ELEMENTI DERIVANTI DAL SACCO VITELLINO;NEL CANCRO DELLO STOMACO;B
484;"La globina della normale emoglobina
dell’adulto è composta da:";una catena alfa ed una beta;due catene alfa e due beta;due catene alfa ed una beta;"due catene alfa e due
gamma";"una catena alfa e due
gamma";B
485;COMPLICANZA DELL'ANEMIA PERNICIOSA E’:;"L'IPERTROFIA DELLE PLICHE DELLA  MUCOSA
GASTRICA";IL CARCINOMA GASTRICO;"LA GASTRITE IPERSECRETIVA
IPERCLORIDICA";L'ULCERA GASTRICA;L'ULCERA DUODENALE;B
486;"Uno studio del cariotipo è indicato in tutte le
seguenti condizioni, ad eccezione di:";sindrome di Down;ritardo mentale;bassa statura nelle bambine;psicosi;genitali ambigui;D
487;"NELLE ANEMIE EMOLITICHE ACQUISITE
DA ANTICORPI CALDI INCOMPLETI, QUE STI:";SONO DELLE JGG 7(S);HANNO POTERE AGGLUTINANTE COMPLETO;ESPLICANO MASSIMA ATTIVITA' A 30- 32 GRADI C;HANNO SPECIFICITA' ANTI-I;HANNO SPECIFICITA ANTI-I;A
488;"Tutte le seguenti affermazioni che riguardano
la sindrome di Klinefelter sono vere ad eccezione di:";il cariotipo è XXY;l’aspetto dei pazienti è eunucoide;la peluria pubica e del volto è scarsa;è presente ginecomastia;"è presente un micropene dai
primi anni di vita";E
489;IL GLUCOSIO PUO’ ATTRAVERSARE LIBERAMHNTB LA MEMBRANA CELLULARE, CIOE' SENZA L'INTERVENTO DELL'INSULINA, A LIVELLO:;DELL'EPATOCITA;DEL TESSUTO MUSCOLARE;DEL TESSUTO ADIPOSO;DI TUTTI QUESTI TESSUTI;DI NESSUNO DI QUESTI TESSUTI;A
